"name@Zagat","addr@Zagat","phone@Zagat","type@Zagat","name@Fodors","addr@Fodors","phone@Fodors","type@Fodors","Confidence"
"arnie morton's of chicago","435 s. la cienega blvd. los angeles","310-246-1501","steakhouses","arnie morton's of chicago","435 s. la cienega blvd. los angeles","310-246-1501","american","100"
"art's deli","12224 ventura blvd. studio city","818-762-1221","delis","art's delicatessen","12224 ventura blvd. studio city","818-762-1221","american","70"
"cafe bizou","14016 ventura blvd. sherman oaks","818-788-3536","french bistro","cafe bizou","14016 ventura blvd. sherman oaks","818-788-3536","french","100"
"campanile","624 s. la brea ave. los angeles","213-938-1447","californian","campanile","624 s. la brea ave. los angeles","213-938-1447","american","100"
"chinois on main","2709 main st. santa monica","310-392-9025","pacific new wave","chinois on main","2709 main st. santa monica","310-392-9025","french","100"
"citrus","6703 melrose ave. los angeles","213-857-0034","californian","citrus","6703 melrose ave. los angeles","213-857-0034","californian","100"
"fenix at the argyle","8358 sunset blvd. w. hollywood","213-848-6677","french (new)","fenix","8358 sunset blvd. west hollywood","213-848-6677","american","64"
"granita","23725 w. malibu rd. malibu","310-456-0488","californian","granita","23725 w. malibu rd. malibu","310-456-0488","californian","100"
"grill  the","9560 dayton way beverly hills","310-276-0615","american (traditional)","grill on the alley","9560 dayton way los angeles","310-276-0615","american","70"
"bel-air hotel","701 stone canyon rd. bel air","310-472-1211","californian","hotel bel-air","701 stone canyon rd. bel air","310-472-1211","californian","60"
"l'orangerie","903 n. la cienega blvd. w. hollywood","310-652-9770","french (classic)","l'orangerie","903 n. la cienega blvd. los angeles","310-652-9770","french","100"
"le chardonnay (los angeles)","8284 melrose ave. los angeles","213-655-8880","french bistro","le chardonnay","8284 melrose ave. los angeles","213-655-8880","french","70"
"locanda veneta","8638 w. third st. los angeles","310-274-1893","italian","locanda veneta","3rd st. los angeles","310-274-1893","italian","100"
"matsuhisa","129 n. la cienega blvd. beverly hills","310-659-9639","seafood","matsuhisa","129 n. la cienega blvd. beverly hills","310-659-9639","asian","100"
"patina","5955 melrose ave. los angeles","213-467-1108","californian","patina","5955 melrose ave. los angeles","213-467-1108","californian","100"
"philippe the original","1001 n. alameda st. chinatown","213-628-3781","cafeterias","philippe's the original","1001 n. alameda st. los angeles","213-628-3781","american","70"
"pinot bistro","12969 ventura blvd. studio city","818-990-0500","french bistro","pinot bistro","12969 ventura blvd. los angeles","818-990-0500","french","100"
"katsu","1972 hillhurst ave. los feliz","213-665-1891","japanese","restaurant katsu","1972 n. hillhurst ave. los angeles","213-665-1891","asian","60"
"rex il ristorante","617 s. olive st. los angeles","213-627-2300","nuova cucina italian","rex il ristorante","617 s. olive st. los angeles","213-627-2300","italian","100"
"spago (los angeles)","8795 sunset blvd. w. hollywood","310-652-4025","californian","spago","1114 horn ave. los angeles","310-652-4025","californian","70"
