uri,manual_label,
Person,"Manet->""Manet""",
Person,"Picasso->""Picasso""",
Person,"artist->""Diego VelÌÁzquez""",
Person,"drunken boy->""boy""",
Person,"the viewer->""viewer""",
Person,"his->""boy""",
Person,"him->""boy""",
Person,"his->""boy""",
Person,"the King->""Philip IV""",
Person,"Pope Innocent X->""Pope Innocent X""",
Person,"his->""Pope Innocent X""",
Person,"the viewer->""the viewer""",
Person,"her->""Venus""",
Person,"her->""Venus""",
Generic,"Manet and Picasso both painted->""Manet"," Picasso"""
Generic,"the King‰Ûªs confidence in him grew->""Philip IV""",
