uri,manual_label,False Negative
Person,"Diego VelÌÁzquez->""Diego VelÌÁzquez""",No
Person,"his->""Diego VelÌÁzquez""",No
Person,"His->""Diego VelÌÁzquez""",No
Person,"him->""Diego VelÌÁzquez""",No
Person,"Manet->""Manet""",Yes
Person,"Picasso->""Picasso""",Yes
Person,"his->""Diego VelÌÁzquez""",No
Person,"his->""Diego VelÌÁzquez""",No
Person,"His->""Diego VelÌÁzquez""",No
Person,"King Philip IV->""Philip IV""",No
Person,"artist->""Diego VelÌÁzquez""",Yes
Person,"his->""Diego VelÌÁzquez""",No
Person,"VelÌÁzquez->""Diego VelÌÁzquez""",No
Person,"him->""Diego VelÌÁzquez""",No
Person,"his->""Diego VelÌÁzquez""",No
Person,"His->""Diego VelÌÁzquez""",No
Person,"his->""Diego VelÌÁzquez""",No
Person,"King Philip IV->""Philip IV""",No
Person,"his->""Diego VelÌÁzquez""",No
Person,"he->""Diego VelÌÁzquez""",No
Person,"His->""Diego VelÌÁzquez""",No
Person,"his->""Diego VelÌÁzquez""",No
Person,"him->""Diego VelÌÁzquez""",No
Person,"his->""Diego VelÌÁzquez""",No
Person,"his->""Diego VelÌÁzquez""",No
Person,"VelÌÁzquez->""Diego VelÌÁzquez""",No
Person,"drunken boy->""boy""",Yes
Person,"the viewer->""viewer""",Yes
Person,"his->""boy""",Yes
Person,"him->""boy""",Yes
Person,"his->""boy""",Yes
Person,"VelÌÁzquez->""Diego VelÌÁzquez""",No
Person,"his->""Diego VelÌÁzquez""",No
Person,"his->""Diego VelÌÁzquez""",No
Person,"the King->""Philip IV""",Yes
Person,"him->""Diego VelÌÁzquez""",No
Person,"he->""Diego VelÌÁzquez""",No
Person,"his->""Diego VelÌÁzquez""",No
Person,"his->""Diego VelÌÁzquez""",No
Person,"Pope Innocent X->""Pope Innocent X""",Yes
Person,"he->""Diego VelÌÁzquez""",No
Person,"his->""Pope Innocent X""",Yes
Person,"VelÌÁzquez->""Diego VelÌÁzquez""",No
Person,"the viewer->""the viewer""",Yes
Person,"his->""Diego VelÌÁzquez""",No
Person,"her->""Venus""",Yes
Person,"her->""Venus""",Yes
Generic,"Diego VelÌÁzquez died->""Diego VelÌÁzquez""",No
Generic,"His complex, enigmatic portraits made him->""Diego VelÌÁzquez""",No
Generic,"Manet and Picasso both painted->""Manet, Picasso""",Yes
Generic,"It presents him->""Diego VelÌÁzquez""",No
Generic,"he quickly discovered a talent for naturalism->""Diego VelÌÁzquez""",No
Generic,"VelÌÁzquez toned his style->""Diego VelÌÁzquez""",No
Generic,"the King‰Ûªs confidence in him grew->""Philip IV""",Yes
Generic,"he honed his critical eye->""Diego VelÌÁzquez""",No
