uri,manual_label
Person,"Diego Velázquez"->"Diego Velázquez",
Person,"his"->"Diego Velázquez",
Person,"His"->"Diego Velázquez",
Person,"him"->"Diego Velázquez",
Person,"Manet"->"Manet",
Person,"Picasso"->"Picasso",
Person,"his"->"Diego Velázquez",
Person,"his"->"Diego Velázquez",
Person,"His"->"Diego Velázquez",
Person,"King Philip IV"->"Philip IV",
Person,"artist"->"Diego Velázquez",
Person,"his"->"Diego Velázquez",
Person,"Velázquez"->"Diego Velázquez",
Person,"him"->"Diego Velázquez",
Person,"his"->"Diego Velázquez",
Person,"His"->"Diego Velázquez",
Person,"his"->"Diego Velázquez",
Person,"King Philip IV"->"Philip IV",
Person,"his"->"Diego Velázquez",
Person,"he"->"Diego Velázquez",
Person,"His"->"Diego Velázquez",
Person,"his"->"Diego Velázquez",
Person,"him"->"Diego Velázquez",
Person,"his"->"Diego Velázquez",
Person,"his"->"Diego Velázquez",
Person,"Velázquez"->"Diego Velázquez",
Person,"drunken boy"->"boy",
Person,"the viewer"->"viewer",
Person,"his"->"boy",
Person,"him"->"boy",
Person,"his"->"boy",
Person,"Velázquez"->"Diego Velázquez",
Person,"his"->"Diego Velázquez",
Person,"his"->"Diego Velázquez",
Person,"the King"->"Philip IV",
Person,"him"->"Diego Velázquez",
Person,"he"->"Diego Velázquez",
Person,"his"->"Diego Velázquez",
Person,"his"->"Diego Velázquez",
Person,"Pope Innocent X"->"Pope Innocent X",
Person,"he"->"Diego Velázquez",
Person,"his"->"Pope Innocent X",
Person,"Velázquez"->"Diego Velázquez",
Person,"the viewer"->"the viewer",
Person,"his"->"Diego Velázquez",
Person,"her"->"Venus",
Person,"her"->"Venus",
Generic,"Diego Velázquez died"->"Diego Velázquez",
Generic,"His complex, enigmatic portraits made him"->"Diego Velázquez",
Generic,"Manet and Picasso both painted"->"Manet, Picasso",
Generic,"It presents him"->"Diego Velázquez",
Generic,"he quickly discovered a talent for naturalism"->"Diego Velázquez",
Generic,"Velázquez toned his style"->"Diego Velázquez",
Generic,"the King’s confidence in him grew"->"Philip IV",
Generic,"he honed his critical eye"->"Diego Velázquez",

