link,id,name,bibliography,artist - link,artist - name - first,artist - name - last,artist - name - middle,artist - active,on_view,category,image_link,acquired_id,acquired_from,painting_type,created_year,created_country,about the era,curator notes,copyright,display,label,provenance,history,exhibition history,artist - dates,artist - dates - born,artist - dates - died,artist - birthplace - country,artist - birthplace - state,artist - birthplace - town,dimensions - width,dimensions - units,dimensions - height,dimensions - depth
http://collections.lacma.org/node/184481,184481,Double Circle,,http://collections.lacma.org/node/165564,Charles,Howard,Houghton,,"Art of the Americas Building, floor 3",American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31205657-WEB.jpg,M.2006.73.2,Bequest of Fannie and Alan Leslie,Oil on canvas,1950,United States,,,Estate of Charles Houghton Howard,Framed,,,,,,1899,1978,United States,,,105.41,cm,82.55,3.81
http://collections.lacma.org/node/220082,220082,Portrait of Harriet Clark Ferrell,,,,,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31386799-WEB.jpg,M.2009.98.2,Gift of Rosemary Ball Hill,Oil on canvas,1853,United States,,,,Framed,,,,,,,,,,,90.17,cm,107.95,6.35
http://collections.lacma.org/node/220066,220066,Portrait of Captain William J. Ferrell,,,,,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31386747-WEB.jpg,M.2009.98.1,Gift of Rosemary Ball Hill,Oil on canvas,1849,United States,,,,Framed,,,,,,,,,,,91.44,cm,108.59,6.35
http://collections.lacma.org/node/220089,220089,Journeying Blue,,http://collections.lacma.org/node/161923,Alice,Baber,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31378207-WEB.jpg,M.2009.74,Gift of Craig Hendrix,Oil on canvas,,,,"A member of the American postwar abstract expressionist movement, Alice Baber achieved international recognition during the 1960s and 1970s. She is best identified with abstract staining, a technique most often identified with Helen Frankenthaler and Morris Louis, but also characteristic of Paul Jenkins, who Baber was briefly married to during the late 1960s.She lived in France during part of the 1950s and 1960s and it was there that she painted Journeying Blue. Her work of this period shared with her husband's an overall composition of colorful abstract forms noted for their glowing transparency. However, Baber worked with more controlled geometric shapes, usually ovoids, and applied the pigment by rubbing it into the canvas with her fingers rather than pouring the liquid in large gestural sweeps as did Jenkins. The energy of her paintings derived mainly from the congested yet orchestrated movement, often elliptical, of the shapes, which she referred to as ""wind""; often the ovoids were directed towards a brilliant unstained white area near the center of the composition. Sometimes, as in Journeying Blue, her paintings tended toward the monochromatic.Baber is not as well known as the other exponents of stain painting because she died at a relatively young age of fifty-four and devoted considerable time to teaching throughout the United States (including at the University of California campuses at Santa Barbara and Berkeley), organizing exhibitions of women artists, and writing about art. Her work is in collections in the United States and abroad, including the Museum of Modern Art and Metropolitan Museum.",Estate of Alice Baber,Sight,,,,,,1928,1982,United States,,,99.7,cm,99.7,
http://collections.lacma.org/node/231335,231335,The Confidantes,"Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/165538,Grigory,Gluckmann,,United States,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31970824-WEB.jpg,56.23,Gift of Mrs. June Braun Pike in memory of her father,Oil on canvas,1948,United States,,"Although he also painted imaginative landscapes and somewhat satirical scenes of the city and society, Gluckmann’s perennial subject was women, portrayed either singly or silently seated together, as though dreamily absorbed in their interior life. The Confidantes shows the artist’s feeling for the large design and opulent forms. Critics have always marveled at his technique and sensuous paint surfaces, which seem almost Venetian. However, Gluckmann’s mature images of women are modern in spirit. The confidantes are unmistakably workingclass women, as shown by their clothes and slick, red-polished fingernails and lipstick. Consequently, despite his old master painting style, Gluckmann, in subject matter, paralleled East Coast realist artists.",Estate of Grigory Gluckmann,,,,,,,1898,1973,Russia,,,72.87,cm,60.01,
http://collections.lacma.org/node/183435,183435,Woman and Child,About the Era.,http://collections.lacma.org/node/167325,Mary,Cassatt,,France,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31971566-WEB.jpg,AC1996.164.1,Gift of Deborah and John Landis,Oil on canvas,late 19th or early 20th century,United States,"The late nineteenth century witnessed a growing cosmopolitanism and sophistication in American culture. Great riches were amassed by railroad tycoons and land barons, and along with this came the desire for a luxurious standard of living. Collectors filled their homes with European as well as American works of art. American artists, generally trained abroad, often painted in styles that were indistinguishable from their European counterparts. Most Americans who studied abroad did so in the European academies, which promoted uplifting subject matter and a representational style that emphasized well-modeled, clearly defined forms and realistic color. Academic painting served American artists well, for their clients demanded elaborate large-scale paintings to demonstrate their wealth and social positions. With an emphasis on material objects and textures, academic artists immortalized their patrons’ importance in full-length portraits. Academic painting dominated taste in Europe throughout the century. But in the 1860s impressionism emerged in France as a reaction to this hegemony. By the 1880s this “new painting” was still considered progressive. Mary Cassatt was the only American invited to participate in the revolutionary Paris impressionist exhibitions. Despite her participation and the early interest of several other American painters, few Americans explored impressionism until the 1890s. Impressionist painters no longer had to choose subject matter of an elevated character but instead could depict everyday scenes and incidents. Nor did impressionists have to record the physical world with the objective detail of a photograph. Artists were now encouraged to leave their studios and paint outside under different weather conditions. American impressionists used the new aesthetic to capture the charm and beauty of the countryside and the city as well as the quiet delicacy of domestic interiors.","Through the generosity of Deborah and John Landis, the museum acquired its second Mary Cassatt painting, Woman and Child (Mathilde Holding a Child). Cassatt was one of the foremost American artists of the 19th century. Almost her entire career was spent in France as an expatriate, and it was there she became a confidant of Degas and a member of the radical circle of French impressionists. The only American invited to exhibit with them in Paris, Cassatt first presented her famous “mother and child” images at their annual shows. Mother About to Wash Her Sleepy Child (1880), the museum’s other Cassatt oil, is believed to be the artist’s earliest dated modern Madonna. Woman and Child is slightly smaller but equally rich in palette. Manifold are the discussions about Cassatt’s maternal themes and their relationship both to her own life (she remained single, but lived in close rapport with her extended family) and to a contemporary religious revival in France. Recently, scholars have begun questioning the identity of these so-called mothers, and clues can sometimes be found in their attire. Is the woman in our 1880 painting the mother or a servant? She appears to be wearing intimate at-home attire, but an upper-middle-class woman probably would have relegated the domestic chore of her children’s toilet to a nursemaid. One of Cassatt’s servants, Mathilde Vallet, often posed for the artist; but in the context of Woman and Child is she to be read as the mother? There is not enough detail to know what she is wearing. Moreover, although the young child hugs Mathilde, her eyes express a slight skepticism rather than the confidence one would expect. Woman and Child actually has two subjects, for the paint surface is as significant as the imagery. The canvas was intentionally left unfinished (it is signed), suggesting that the artist wanted the viewer to luxuriate in the paint’s physicality. Its surface consists of neutral-colored passages of underpaint as well as areas finished to varying degrees. Cassatt varied her approach, using sweeping strokes, wiggles, parallel lines, and even rubbing out the pigment. The canvas also offers insight into the artist’s working methodology. Typical of an academically trained artist, the faces are the most fully realized. Yet Cassatt built up her three-dimensional forms, first drawing in cobalt blue a quick, sure outline, than applying strokes one over another so that her figures simultaneously suggest solidity and movement. Cassatt had been criticized for her defective drawing by her teachers, who considered her approach slovenly. Today we realize how brilliant a draftsman she was. Mother About to Wash Her Sleepy Child and Woman and Child document Cassatt’s importance to both American and French painting.",,,,,,,,1844,1926,United States,Pennsylvania,Allegheny City,60.01,cm,73.03,
http://collections.lacma.org/node/185712,185712,Flowers in a Handled Vase,About the Era.,http://collections.lacma.org/node/155615,Edward,Manigault,Middleton,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31971580-WEB.jpg,AC1997.148.1,Gift of Mr. and Mrs. Richard L. Mayers,Oil on canvas,circa 1919-1922,United States,"The early twentieth century witnessed the transformation of the United States into a modern industrialized society and an international political power. By 1920 more than half of the country’s population lived in urban areas. Seeming to guarantee employment, the cities lured many farmers and African Americans from rural areas. In addition, between 1900 and 1920, 14.5 million immigrants from Europe, Russia, Mexico, and Asia settled here, primarily in urban centers. A new energy was channeled to such cities as New York and Chicago, as massive skyscrapers were erected to furnish much-needed office space and living quarters. Even West Coast cities were affected—the population of Los Angeles tripled between 1900 and 1910; its unplanned urban sprawl and dizzying speed were captured in the zany movies of the Keystone Cops, filmed on the streets of the city.Art reflected these changing social and economic dynamics. Impressionism and Post-Impressionism were still popular. Yet other, more progressive ideas now challenged artists. A strong new commitment to realism emerged in literature and the fine arts.In Philadelphia and New York, a group of artists centered around Robert Henri captured the vitality of urban American life. These realists depicted the hustle and bustle of city streets, the common pleasures of restaurants and various forms of entertainment. Critics dubbed these realists the “Ash Can School” because of their treatment of unidealized subject matter previously considered unattractive. These artists focused on the inhabitants of cities rather than the cities themselves. Their interest in people also led them to create a significant number of single-figure paintings, conveying the human side of the new America . During the 1910s and 1920s the realist celebration of America spread throughout the country, as artists recorded the neighborhoods and people that made their own cities distinct.",,,,,,,,,1887,1922,United States,,,52.1,cm,61,
http://collections.lacma.org/node/186500,186500,River Landscape,About the Era.,http://collections.lacma.org/node/167019,Ernest,Lawson,,United States,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31958420-WEB.jpg,AC1997.270.1,Gift of Dr. Loren J. Stern,Oil on canvas,early 20th century,United States,"The late nineteenth century witnessed a growing cosmopolitanism and sophistication in American culture. Great riches were amassed by railroad tycoons and land barons, and along with this came the desire for a luxurious standard of living. Collectors filled their homes with European as well as American works of art. American artists, generally trained abroad, often painted in styles that were indistinguishable from their European counterparts. Most Americans who studied abroad did so in the European academies, which promoted uplifting subject matter and a representational style that emphasized well-modeled, clearly defined forms and realistic color. Academic painting served American artists well, for their clients demanded elaborate large-scale paintings to demonstrate their wealth and social positions. With an emphasis on material objects and textures, academic artists immortalized their patrons’ importance in full-length portraits. Academic painting dominated taste in Europe throughout the century. But in the 1860s impressionism emerged in France as a reaction to this hegemony. By the 1880s this “new painting” was still considered progressive. Mary Cassatt was the only American invited to participate in the revolutionary Paris impressionist exhibitions. Despite her participation and the early interest of several other American painters, few Americans explored impressionism until the 1890s. Impressionist painters no longer had to choose subject matter of an elevated character but instead could depict everyday scenes and incidents. Nor did impressionists have to record the physical world with the objective detail of a photograph. Artists were now encouraged to leave their studios and paint outside under different weather conditions. American impressionists used the new aesthetic to capture the charm and beauty of the countryside and the city as well as the quiet delicacy of domestic interiors.",,,,,,,,,1873,1939,Canada,Nova Scotia,Halifax,50.8,cm,40.6,
http://collections.lacma.org/node/186605,186605,Allegro,About the Era.,http://collections.lacma.org/node/157344,Rolph,Scarlett,,United States,"Art of the Americas Building, floor 3",American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31958553-WEB.jpg,M.2001.39,Gift of Fannie and Alan Leslie,Oil on canvas,circa 1944,United States,"The beginning of every century inspires a general sentiment of endless possibilities, and the twentieth century was no exception. A modern age marked by technological wonders had begun, and the United States was to be its focal point. Lewis Mumford, one of the country’s most brilliant thinkers, explained that, unlike Europe, “the New World expanded the human imagination.” Young American students still traveled to Europe, especially Paris, for their initiation to art, but the progressive new ideas of cubism, futurism, and surrealism that they imbibed only found their true home in the United States. As demonstrated by the first generation of modernists in the circle of Alfred Stieglitz, American artists rarely abandoned referential ties to the physical world completely. The simplification of form, multiple perspectives, and ideas about the fourth dimension that radical proponents of cubism espoused would find their most compelling American expressions in the fishermen of Marsden Hartley, and the animal bones and skulls of Georgia O’Keeffe. To these artists, abstraction meant the synthesis of personal experience. The introduction of psychological ideas, first in the form of Sigmund Freud’s discussion of the unconscious and later in the writings and art of the surrealists, found an enthusiastic audience in America. Such new concepts not only expanded ideas about the human mind but also encouraged the liberation of social conduct, in particular, sexual mores. Women increasingly became involved in creative aspects of the new modern age. In 1934 the Los Angeles artists Helen Lundeberg and Lorser Feitelson issued the only surrealist manifesto to appear in the United States, thereby demonstrating that in a relatively short time California had seriously challenged New York as the leader of the brave new world.",,Rolph Scarlett,,,,,,,1889,1984,Canada,Ontario,Guelph,189.23,cm,163.83,
http://collections.lacma.org/node/188869,188869,Tasting the Sugar,About the Era.,http://collections.lacma.org/node/164665,Eastman,Johnson,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31958440-WEB.jpg,AC1998.170.1,Gift of Sandra and Jacob Y. Terner,Oil on canvas,circa 1861-1866,United States,"After the Jacksonian presidency (1829–37), the adolescent country began an aggressive foreign policy of territorial expansion, exemplified by the success of the Mexican-American War (1846–48). Economic growth, spurred by new technologies such as the railroad and telegraph, assisted the early stages of empire building. As a comfortable and expanding middle class began to demonstrate its wealth and power, a fervent nationalist spirit was celebrated in the writings of Walt Whitman and Herman Melville. Artists such as Emanuel Leutze produced history paintings re-creating the glorious past of the relatively new country. Such idealizations ignored the mounting political and social differences that threatened to split the country apart. The Civil War slowed development, affecting every fiber of society, but surprisingly was not the theme of many paintings. The war’s devastation did not destroy the American belief in progress, and there was an undercurrent of excitement due to economic expansion and increased settlement of the West. During the postwar period Americans also began enthusiastically turning their attention abroad. They flocked to Europe to visit London, Paris, Rome, Florence, and Berlin, the major cities on the Grand Tour. Art schools in the United States offered limited classes, so the royal academies in Germany, France, and England attracted thousands of young Americans. By the 1870s American painting no longer evinced a singleness of purpose. Although Winslow Homer became the quintessential Yankee painter, with his representations of country life during the reconstruction era, European aesthetics began to infiltrate taste.",,,,,,,,,1824,1906,United States,Maine,Lovell,53.34,cm,43.18,
