link,id,name,bibliography,artist - link,artist - name - first,artist - name - last,artist - name - middle,artist - active,on_view,category,image_link,acquired_id,acquired_from,painting_type,created_year,created_country,copyright,display,artist - dates,artist - dates - born,artist - dates - died,artist - birthplace - country,artist - birthplace - state,artist - birthplace - town,dimensions - width,dimensions - height,dimensions - depth,dimensions - unit
http://collections.lacma.org/node/184481,184481,Double Circle,,http://collections.lacma.org/node/165564,Charles,Howard,Houghton,,"Art of the Americas Building, floor 3",American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31205657-WEB.jpg,M.2006.73.2,Bequest of Fannie and Alan Leslie,Oil on canvas,1950,United States,Estate of Charles Houghton Howard,Framed,,1899,1978,United States,,,105.41,82.55,3.81,cms
http://collections.lacma.org/node/220082,220082,Portrait of Harriet Clark Ferrell,,,,,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31386799-WEB.jpg,M.2009.98.2,Gift of Rosemary Ball Hill,Oil on canvas,1853,United States,,Framed,,,,,,,90.17,107.95,6.35,cms
http://collections.lacma.org/node/220066,220066,Portrait of Captain William J. Ferrell,,,,,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31386747-WEB.jpg,M.2009.98.1,Gift of Rosemary Ball Hill,Oil on canvas,1849,United States,,Framed,,,,,,,91.44,108.59,6.35,cms
http://collections.lacma.org/node/220089,220089,Journeying Blue,,http://collections.lacma.org/node/161923,Alice,Baber,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31378207-WEB.jpg,M.2009.74,Gift of Craig Hendrix,Oil on canvas,,,Estate of Alice Baber,Sight,,1928,1982,United States,,,99.7,99.7,,cms
http://collections.lacma.org/node/231335,231335,The Confidantes,"Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/165538,Grigory,Gluckmann,,United States,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31970824-WEB.jpg,56.23,Gift of Mrs. June Braun Pike in memory of her father,Oil on canvas,1948,United States,Estate of Grigory Gluckmann,(blank),,1898,1973,Russia,,,72.87,60.01,,cms
http://collections.lacma.org/node/183435,183435,Woman and Child,About the Era.,http://collections.lacma.org/node/167325,Mary,Cassatt,,France,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31971566-WEB.jpg,AC1996.164.1,Gift of Deborah and John Landis,Oil on canvas,late 19th or early 20th century,United States,,(blank),,1844,1926,United States,Pennsylvania,Allegheny City,60.01,73.03,,cms
http://collections.lacma.org/node/185712,185712,Flowers in a Handled Vase,About the Era.,http://collections.lacma.org/node/155615,Edward,Manigault,Middleton,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31971580-WEB.jpg,AC1997.148.1,Gift of Mr. and Mrs. Richard L. Mayers,Oil on canvas,circa 1919-1922,United States,,(blank),,1887,1922,United States,,,52.1,61,,cms
http://collections.lacma.org/node/186500,186500,River Landscape,About the Era.,http://collections.lacma.org/node/167019,Ernest,Lawson,,United States,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31958420-WEB.jpg,AC1997.270.1,Gift of Dr. Loren J. Stern,Oil on canvas,early 20th century,United States,,(blank),,1873,1939,Canada,Nova Scotia,Halifax,50.8,40.6,,cms
http://collections.lacma.org/node/186605,186605,Allegro,About the Era.,http://collections.lacma.org/node/157344,Rolph,Scarlett,,United States,"Art of the Americas Building, floor 3",American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31958553-WEB.jpg,M.2001.39,Gift of Fannie and Alan Leslie,Oil on canvas,circa 1944,United States,Rolph Scarlett,(blank),,1889,1984,Canada,Ontario,Guelph,189.23,163.83,,cms
http://collections.lacma.org/node/188869,188869,Tasting the Sugar,About the Era.,http://collections.lacma.org/node/164665,Eastman,Johnson,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31958440-WEB.jpg,AC1998.170.1,Gift of Sandra and Jacob Y. Terner,Oil on canvas,circa 1861-1866,United States,,(blank),,1824,1906,United States,Maine,Lovell,53.34,43.18,,cms
http://collections.lacma.org/node/198383,198383,"Linear Torso, no. 4",About the Era.,http://collections.lacma.org/node/167271,Helen,Lundeberg,,Los Angeles,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31958454-WEB.jpg,AC1999.118.1,Gift of Joan Palevsky and Gloria Ellwood,Acrylic on canvas,1969,United States,The Feitelson / Lundeberg Art Foundation,(blank),,1908,1999,United States,Illinois,Chicago,152.4,152.4,,cms
http://collections.lacma.org/node/201995,201995,"We Don't Know Where We're Going, But We're On The Way",About the Era.,http://collections.lacma.org/node/166803,Edouard,Vysekal,Antonin,United States,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31958582-WEB.jpg,M.2001.82,Purchased with funds provided by an anonymous donor,Oil on canvas,circa 1918,United States,,(blank),,1890,1939,Bohemia,,Kutná Hora,111.76,170.18,,cms
http://collections.lacma.org/node/224832,224832,Jane Buchanan Lane,About the Era.,http://collections.lacma.org/node/167281,Jacob,Eichholtz,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31973960-WEB.jpg,M.90.88.1,Gift of Sandra and Jacob Y. Terner in honor of the museum's twenty fifth anniversary,Oil on canvas,1820,United States,,(blank),,1776,1842,United States,Pennsylvania,Lancaster,61,73.7,,cms
http://collections.lacma.org/node/224849,224849,Portrait of a Lady,About the Era.,http://collections.lacma.org/node/164847,Charles,Elliott,Loring,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31973988-WEB.jpg,M.90.88.3,Gift of Sandra and Jacob Y. Terner in honor of the museum's twenty fifth anniversary,Oil on canvas,1836,United States,,(blank),,1812,1868,United States,New York,Scipio,61.6,96.5,,cms
http://collections.lacma.org/node/224905,224905,Elliott Tole Lane,About the Era.,http://collections.lacma.org/node/167281,Jacob,Eichholtz,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31973974-WEB.jpg,M.90.88.2,Gift of Sandra and Jacob Y. Terner in honor of the museum's twenty fifth anniversary,Oil on canvas,1821,United States,,(blank),,1776,1842,United States,Pennsylvania,Lancaster,61,73.7,,cms
http://collections.lacma.org/node/225599,225599,Lady in Blue,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/164834,John,Carroll,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31969717-WEB.jpg,34.12.2,Mr. and Mrs. William Preston Harrison Collection,Oil on canvas,circa 1924,United States,Estate of John Carroll,(blank),,1892,1959,United States,Kansas,Kansas City,102.87,128.27,,cms
http://collections.lacma.org/node/225609,225609,October,"1. About the Era. 2. Donahue, Kenneth. Los Angeles County Museum of Art Handbook. Los Angeles: Los Angeles County Museum of Art, 1977. 3. Cikovsky, Nicolai J.; Michael Quick. George Inness. Los Angeles: Los Angeles County Museum of Art, 1985. 4. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/164657,George,Inness,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31969781-WEB.jpg,39.12.12,Paul Rodman Mabury Collection,,1882 or 1886,United States,,(blank),,1825,1894,United States,New York,Newburgh,75.9,50.7,,cms
http://collections.lacma.org/node/225685,225685,Old City Hall of Los Angeles,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/168076,Boza,Hessova,,United States,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-17267095-WEB.jpg,36.23.1,Los Angeles County Fund,Oil on canvas,1929,United States,Estate of Boza Hessova,(blank),,1889,1981,Bohemia,,Kralove,71.6,71.6,,cms
http://collections.lacma.org/node/226998,226998,"Still Life: Brass Bowl, Ducks, Bottles","1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/167321,Soren-Emil,Carlsen,,United States,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31972112-WEB.jpg,M.76.67.1,"Gift of Jo Ann and Julian Ganz, Jr.",Oil on canvas,1883,United States,,(blank),,1853,1932,Denmark,,Copenhagen,127.16,95.73,,cms
http://collections.lacma.org/node/228276,228276,Pastoral Dells and Peaks,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/165584,Arthur,Davies,Bowen,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31969907-WEB.jpg,43.15.1,Dr. Dorothea Moore Bequest,Oil on canvas,circa 1908-1911,United States,,(blank),,1862,1928,United States,New York,Utica,76.99,46.2,,cms
http://collections.lacma.org/node/228337,228337,Pedro,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/156575,George,Luks,Benjamin,,"Art of the Americas Building, floor 3",American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31969500-WEB.jpg,27.7.11,Mr. and Mrs. William Preston Harrison Collection,Oil on canvas,early 1920s,United States,,(blank),,1867,1933,United States,Pennsylvania,Williamsport,112.9,133.03,,cms
http://collections.lacma.org/node/228340,228340,Woman in Sculpture Hall,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/164771,Kenneth,Miller,Hayes,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31969514-WEB.jpg,27.7.13,Mr. and Mrs. William Preston Harrison Collection,Oil on canvas,1925,United States,,(blank),,1876,1952,United States,,,92.08,104.78,,cms
http://collections.lacma.org/node/228406,228406,Nude with Chinese Background,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/164669,Leopold,Seyffert,Gould,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31969249-WEB.jpg,23.6.3,Mr. and Mrs. William Preston Harrison Collection,Oil on canvas,1919,United States,Leopold Gould Seyffert,(blank),,1887,1956,United States,Missouri,California,153.04,138.43,,cms
