name,addr,city,type
'arnie morton\'s of chicago','435 s. la cienega blvd.','los angeles',steakhouses
'art\'s deli','12224 ventura blvd.','studio city',delis
'bel-air hotel','701 stone canyon rd.','bel air',californian
'cafe bizou','14016 ventura blvd.','sherman oaks','french bistro'
campanile,'624 s. la brea ave.','los angeles',californian
'chinois on main','2709 main st.','santa monica','pacific new wave'
citrus,'6703 melrose ave.','los angeles',californian
'fenix at the argyle','8358 sunset blvd.','w. hollywood','french (new)'
granita,'23725 w. malibu rd.',malibu,californian
'grill  the','9560 dayton way','beverly hills','american (traditional)'
katsu,'1972 hillhurst ave.','los feliz',japanese
'l\'orangerie','903 n. la cienega blvd.','w. hollywood','french (classic)'
'le chardonnay (los angeles)','8284 melrose ave.','los angeles','french bistro'
'locanda veneta','8638 w. third st.','los angeles',italian
matsuhisa,'129 n. la cienega blvd.','beverly hills',seafood
'palm  the (los angeles)','9001 santa monica blvd.','w. hollywood',steakhouses
patina,'5955 melrose ave.','los angeles',californian
'philippe the original','1001 n. alameda st.',chinatown,cafeterias
'pinot bistro','12969 ventura blvd.','studio city','french bistro'
'rex il ristorante','617 s. olive st.','los angeles','nuova cucina italian'
'spago (los angeles)','8795 sunset blvd.','w. hollywood',californian
valentino,'3115 pico blvd.','santa monica',italian
'yujean kang\'s','67 n. raymond ave.',pasadena,chinese
'21 club','21 w. 52nd st.','new york city','american (new)'
aquavit,'13 w. 54th st.','new york city',scandinavian
aureole,'34 e. 61st st.','new york city','american (new)'
'cafe lalo','201 w. 83rd st.','new york city',coffeehouses
'cafe des artistes','1 w. 67th st.','new york city','french (classic)'
'carmine\'s','2450 broadway','new york city',italian
'carnegie deli','854 seventh ave.','new york city',delis
chanterelle,'2 harrison st.','new york city','french (new)'
daniel,'20 e. 76th st.','new york city','french (new)'
dawat,'210 e. 58th st.','new york city',indian
felidia,'243 e. 58th st.','new york city',italian
'four seasons','99 e. 52nd st.','new york city','american (new)'
'gotham bar & grill','12 e. 12th st.','new york city','american (new)'
'gramercy tavern','42 e. 20th st.','new york city','american (new)'
'island spice','402 w. 44th st.','new york city',caribbean
'jo jo','160 e. 64th st.','new york city','french bistro'
'la caravelle','33 w. 55th st.','new york city','french (classic)'
'la cote basque','60 w. 55th st.','new york city','french (classic)'
'le bernardin','155 w. 51st st.','new york city',seafood
'les celebrites','155 w. 58th st.','new york city','french (classic)'
'lespinasse (new york city)','2 e. 55th st.','new york city',asian
lutece,'249 e. 50th st.','new york city','french (classic)'
'manhattan ocean club','57 w. 58th st.','new york city',seafood
march,'405 e. 58th st.','new york city','american (new)'
'mesa grill','102 fifth ave.','new york city',southwestern
'mi cocina','57 jane st.','new york city',mexican
montrachet,'239 w. broadway','new york city','french bistro'
oceana,'55 e. 54th st.','new york city',seafood
'park avenue cafe (new york city)','100 e. 63rd st.','new york city','american (new)'
petrossian,'182 w. 58th st.','new york city',russian
picholine,'35 w. 64th st.','new york city',mediterranean
pisces,'95 ave. a','new york city',seafood
'rainbow room','30 rockefeller plaza','new york city','american (new)'
'river cafe','1 water st.',brooklyn,'american (new)'
'san domenico','240 central park s.','new york city',italian
'second avenue deli','156 second ave.','new york city',delis
seryna,'11 e. 53rd st.','new york city',japanese
'shun lee palace','155 e. 55th st.','new york city',chinese
'sign of the dove','1110 third ave.','new york city','american (new)'
'smith & wollensky','797 third ave.','new york city',steakhouses
'tavern on the green','central park west','new york city','american (new)'
'uncle nick\'s','747 ninth ave.','new york city',greek
'union square cafe','21 e. 16th st.','new york city','american (new)'
'virgil\'s real bbq','152 w. 44th st.','new york city',bbq
'chin\'s','3200 las vegas blvd. s.','las vegas',chinese
'coyote cafe (las vegas)','3799 las vegas blvd. s.','las vegas',southwestern
'le montrachet bistro','3000 paradise rd.','las vegas','french bistro'
'palace court','3570 las vegas blvd. s.','las vegas','french (new)'
'second street grill','200 e. fremont st.','las vegas','pacific rim'
'steak house  the','2880 las vegas blvd. s.','las vegas',steakhouses
'tillerman  the','2245 e. flamingo rd.','las vegas',steakhouses
abruzzi,'2355 peachtree rd. ne',atlanta,italian
bacchanalia,'3125 piedmont rd.',atlanta,californian
'bone\'s restaurant','3130 piedmont rd. ne',atlanta,steakhouses
'brasserie le coze','3393 peachtree rd.',atlanta,'french bistro'
'buckhead diner','3073 piedmont rd.',atlanta,'american (new)'
'ciboulette restaurant','1529 piedmont ave.',atlanta,'french (new)'
delectables,'1 margaret mitchell sq.',atlanta,cafeterias
'georgia grille','2290 peachtree rd.',atlanta,southwestern
'hedgerose heights inn  the','490 e. paces ferry rd. ne',atlanta,continental
'heera of india','595 piedmont ave.',atlanta,indian
'indigo coastal grill','1397 n. highland ave.',atlanta,eclectic
'la grotta','2637 peachtree rd. ne',atlanta,italian
'mary mac\'s tea room','224 ponce de leon ave.',atlanta,southern/soul
'nikolai\'s roof','255 courtland st.',atlanta,continental
'pano\'s & paul\'s','1232 w. paces ferry rd.',atlanta,'american (new)'
'ritz-carlton cafe (buckhead)','3434 peachtree rd. ne',atlanta,'american (new)'
'ritz-carlton dining room (buckhead)','3434 peachtree rd. ne',atlanta,'american (new)'
'ritz-carlton restaurant','181 peachtree st.',atlanta,'french (classic)'
toulouse,'293-b peachtree rd.',atlanta,'french (new)'
'veni vidi vici','41 14th st.',atlanta,italian
'alain rondelli','126 clement st.','san francisco','french (new)'
aqua,'252 california st.','san francisco','american (new)'
boulevard,'1 mission st.','san francisco','american (new)'
'cafe claude','7 claude ln.','san francisco','french bistro'
'campton place','340 stockton st.','san francisco','american (new)'
'chez michel','804 north point st.','san francisco',californian
'fleur de lys','777 sutter st.','san francisco','french (new)'
fringale,'570 fourth st.','san francisco','french bistro'
'hawthorne lane','22 hawthorne st.','san francisco',californian
'khan toke thai house','5937 geary blvd.','san francisco',thai
'la folie','2316 polk st.','san francisco','french (new)'
'lulu restaurant-bis-cafe','816 folsom st.','san francisco',mediterranean
'masa\'s','648 bush st.','san francisco','french (new)'
mifune,'1737 post st.','san francisco',japanese
'plumpjack cafe','3127 fillmore st.','san francisco','american (new)'
postrio,'545 post st.','san francisco',californian
'ritz-carlton dining room (san francisco)','600 stockton st.','san francisco','french (new)'
'rose pistola','532 columbus ave.','san francisco',italian
